model,seed,epoch,train_loss,train_acc,val_loss,val_acc
ViT,1,90,0.5402046858318268,0.7205,0.593341888859868,0.68
ViT,1,91,0.5396589348240505,0.719,0.5920628942549229,0.67
ViT,1,92,0.5394649169747792,0.722,0.5924691334366798,0.672
ViT,1,93,0.5386768603135669,0.723,0.5934788528829813,0.672
ViT,1,94,0.5386312892512669,0.723,0.5940529108047485,0.668
ViT,1,95,0.5380317772191668,0.724,0.5933382771909237,0.664
ViT,1,96,0.5377110228652046,0.723,0.5938392262905836,0.666
ViT,1,97,0.536304280398384,0.7235,0.5939386636018753,0.668
ViT,1,98,0.5360917330734314,0.7255,0.5956929475069046,0.666
ViT,1,99,0.535462530832442,0.7245,0.5951212737709284,0.666
ViT,1,100,0.5365428068335094,0.7265,0.5961029063910246,0.674
ViT,1,101,0.5352237016435654,0.725,0.5952834133058786,0.674
ViT,1,102,0.5364655956389413,0.7285,0.5948064625263214,0.678
ViT,1,103,0.5354631320824699,0.726,0.5942082870751619,0.672
ViT,1,104,0.5350051810817112,0.7265,0.5945271048694849,0.674
ViT,1,105,0.5348175716778588,0.727,0.5942143760621548,0.674
ViT,1,106,0.5343103200670273,0.7265,0.5936116147786379,0.67
ViT,1,107,0.5342883633242713,0.7255,0.5933996066451073,0.672
ViT,1,108,0.5342239888887557,0.727,0.5950913280248642,0.672
ViT,1,109,0.5331018831994798,0.722,0.5939716510474682,0.672
ViT,1,110,0.5325605978095342,0.724,0.5935044102370739,0.67
ViT,1,111,0.5330428202000875,0.725,0.5945913381874561,0.672
ViT,1,112,0.5324096116754744,0.7255,0.5942971706390381,0.674
ViT,1,113,0.5322639133249011,0.727,0.5947767663747072,0.674
ViT,1,114,0.532171359610936,0.729,0.594926904886961,0.674
ViT,1,115,0.5315020685158078,0.7275,0.593900153413415,0.674
ViT,1,116,0.5308570412416307,0.727,0.5939319636672735,0.674
ViT,1,117,0.5312457146152617,0.732,0.5946393627673388,0.676
ViT,1,118,0.5315303835603926,0.732,0.5953373741358519,0.678
ViT,1,119,0.5298733824775332,0.727,0.5934106763452291,0.674
ViT,1,120,0.5300362867022318,0.7275,0.59384511038661,0.678
ViT,1,121,0.5298851718978276,0.7275,0.5937454104423523,0.676
ViT,1,122,0.5299984864772312,0.728,0.5936984904110432,0.676
ViT,1,123,0.5299479795826806,0.7275,0.5938152708113194,0.676
ViT,1,124,0.5297959191458566,0.7275,0.594068743288517,0.676
ViT,1,125,0.5293031883618188,0.7275,0.594216488301754,0.676
ViT,1,126,0.5291026102172004,0.726,0.5940894056111574,0.674
ViT,1,127,0.5290968427582393,0.728,0.5940221846103668,0.676
ViT,1,128,0.528745631849955,0.7275,0.5938880015164614,0.67
ViT,1,129,0.5291741310604035,0.7265,0.5942976903170347,0.676
ViT,1,130,0.5287716667803507,0.729,0.5940616112202406,0.674
ViT,1,131,0.528600829934317,0.729,0.593996087089181,0.672
ViT,1,132,0.52850898816472,0.728,0.5940286032855511,0.674
ViT,1,133,0.5286059966163029,0.729,0.5940353069454432,0.672
ViT,1,134,0.528682122627894,0.7295,0.5940649881958961,0.674
ViT,1,135,0.528493972524764,0.7285,0.5939093343913555,0.672
ViT,1,136,0.5282457631731791,0.728,0.5937531664967537,0.672
ViT,1,137,0.5283391447294326,0.728,0.5938388649374247,0.674
ViT,1,138,0.5282769406598712,0.727,0.5939061231911182,0.674
ViT,1,139,0.5282649076174176,0.7275,0.5938274934887886,0.674
ViT,1,140,0.5281763038938008,0.728,0.5938086360692978,0.672
